,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,0.0003990650177001953,0.000488754933044677,0.001200389862060547,0.00039961356179578226,euclidean,20,"{'metric': 'euclidean', 'n_neighbors': 20}",0.8275862068965517,0.5862068965517241,0.8571428571428571,0.6785714285714286,0.7142857142857143,0.7327586206896551,0.09921554040808228,18
20,0.00039153099060058595,0.0004797327908872069,0.0009998798370361329,2.8055049632130574e-05,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.8275862068965517,0.8275862068965517,0.8214285714285714,0.75,0.7142857142857143,0.7881773399014779,0.04717890124161935,1
21,0.0004000663757324219,0.0004899811212835492,0.0009990215301513671,3.0547365909666e-06,manhattan,2,"{'metric': 'manhattan', 'n_neighbors': 2}",0.7586206896551724,0.6206896551724138,0.75,0.7142857142857143,0.7142857142857143,0.7115763546798031,0.0489175211540033,32
22,0.0006013393402099609,0.0004910018497940186,0.0011989593505859375,0.00037963253120534173,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.7931034482758621,0.6551724137931034,0.75,0.6785714285714286,0.7142857142857143,0.7182266009852217,0.04935582023377364,31
23,0.00020046234130859374,0.0004009246826171875,0.0013903141021728515,0.00047819952892975693,manhattan,4,"{'metric': 'manhattan', 'n_neighbors': 4}",0.7586206896551724,0.6551724137931034,0.8928571428571429,0.7142857142857143,0.75,0.7541871921182266,0.07831040540843888,7
24,0.00040836334228515624,0.0005003209286765587,0.0010006427764892578,2.7619946026007868e-05,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.7586206896551724,0.6551724137931034,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.7541871921182266,0.06783735954720002,7
25,0.0001998424530029297,0.0003996849060058594,0.001197052001953125,0.00040145736780733106,manhattan,6,"{'metric': 'manhattan', 'n_neighbors': 6}",0.7931034482758621,0.7241379310344828,0.8928571428571429,0.75,0.7142857142857143,0.7748768472906404,0.06498636730611373,2
26,0.0006087779998779297,0.0004973388609645772,0.00119171142578125,0.0004041144024688852,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.8275862068965517,0.6896551724137931,0.8571428571428571,0.6785714285714286,0.7142857142857143,0.7534482758620691,0.07410642015647735,13
27,0.00019979476928710938,0.00039958953857421875,0.000984048843383789,2.0121511099187992e-05,manhattan,8,"{'metric': 'manhattan', 'n_neighbors': 8}",0.7931034482758621,0.6896551724137931,0.8571428571428571,0.7142857142857143,0.6785714285714286,0.7465517241379311,0.06825993743729503,15
28,0.00039038658142089846,0.00047832736805591085,0.0012097835540771484,0.0003916485503906191,manhattan,9,"{'metric': 'manhattan', 'n_neighbors': 9}",0.7586206896551724,0.6551724137931034,0.8571428571428571,0.6428571428571429,0.7142857142857143,0.725615763546798,0.07788238098116913,26
29,0.00020022392272949218,0.0004004478454589843,0.0013995647430419921,0.0004904273626115813,manhattan,10,"{'metric': 'manhattan', 'n_neighbors': 10}",0.8275862068965517,0.6551724137931034,0.8928571428571429,0.7142857142857143,0.7142857142857143,0.7608374384236454,0.08646828773829028,6
30,0.00039925575256347654,0.00048898672013184,0.001000690460205078,2.8704804824596916e-05,manhattan,11,"{'metric': 'manhattan', 'n_neighbors': 11}",0.8275862068965517,0.6551724137931034,0.8928571428571429,0.7142857142857143,0.75,0.7679802955665025,0.08376050254447469,3
31,0.00040063858032226565,0.0004906819232361549,0.0011935710906982421,0.00039231237539928286,manhattan,12,"{'metric': 'manhattan', 'n_neighbors': 12}",0.8275862068965517,0.6551724137931034,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7536945812807883,0.07612391634317972,12
32,0.000200653076171875,0.00040130615234375007,0.0014023780822753906,0.0004875226339632058,manhattan,13,"{'metric': 'manhattan', 'n_neighbors': 13}",0.8275862068965517,0.6551724137931034,0.8928571428571429,0.75,0.7142857142857143,0.7679802955665025,0.08376050254447469,3
33,0.0004061222076416016,0.0004975229335254256,0.001193857192993164,0.000403207495355046,manhattan,14,"{'metric': 'manhattan', 'n_neighbors': 14}",0.8275862068965517,0.6206896551724138,0.8928571428571429,0.7142857142857143,0.7142857142857143,0.7539408866995074,0.09552205558257361,9
34,0.0008093833923339844,0.00040504254219192785,0.0009906291961669922,1.6988390336935823e-05,manhattan,15,"{'metric': 'manhattan', 'n_neighbors': 15}",0.8275862068965517,0.6206896551724138,0.8928571428571429,0.75,0.7142857142857143,0.7610837438423645,0.09360578119068905,5
35,0.00020008087158203126,0.0004001617431640625,0.001390838623046875,0.00047994105540224063,manhattan,16,"{'metric': 'manhattan', 'n_neighbors': 16}",0.8275862068965517,0.6206896551724138,0.8928571428571429,0.7142857142857143,0.7142857142857143,0.7539408866995074,0.09552205558257361,9
36,0.0005925655364990235,0.00048397321625947507,0.0010083675384521484,1.4816213709764813e-05,manhattan,17,"{'metric': 'manhattan', 'n_neighbors': 17}",0.8275862068965517,0.6206896551724138,0.8928571428571429,0.7142857142857143,0.7142857142857143,0.7539408866995074,0.09552205558257361,9
37,0.0003911495208740234,0.00047927475626858684,0.0012081623077392577,0.0003942638185873559,manhattan,18,"{'metric': 'manhattan', 'n_neighbors': 18}",0.8275862068965517,0.5862068965517241,0.8928571428571429,0.7142857142857143,0.7142857142857143,0.7470443349753695,0.1056061590368596,14
38,0.0003913402557373047,0.0004794992902937635,0.0014107227325439453,0.00048174294314860913,manhattan,19,"{'metric': 'manhattan', 'n_neighbors': 19}",0.8275862068965517,0.5862068965517241,0.8571428571428571,0.6785714285714286,0.7142857142857143,0.7327586206896551,0.09921554040808228,18
39,0.00020012855529785156,0.0004002571105957031,0.0012065887451171875,0.0003922718031886383,manhattan,20,"{'metric': 'manhattan', 'n_neighbors': 20}",0.8275862068965517,0.6206896551724138,0.8571428571428571,0.6785714285714286,0.7142857142857143,0.7396551724137931,0.08951296034454997,17
